round,cid,n_k,rank,seed,lr,steps,applied,skipped,nonfinite,sec,vram_gb,loss,gnorm
22,8,2845626,1,42220288,0.0006151478623083757,5558,5555,3,0,30.75351999800023,6.811844348907471,0.08892561314236892,0.8107440333877137
22,9,1240841,0,42220289,0.0006151478623083757,2424,2422,2,0,13.358815666000737,6.739888668060303,0.09440065316185293,0.8830470645063481
22,10,2671366,0,42220290,0.0006151478623083757,5218,5216,2,0,29.010651427000084,6.803714275360107,0.12015676205874952,0.9139220816957438
22,11,1851046,0,42220291,0.0006151478623083757,3616,3614,2,0,20.10892233999948,6.7667646408081055,0.07390972363335294,0.7188503854368429
22,12,1495960,1,42220292,0.0006151478623083757,2922,2920,2,0,15.981968206000602,6.7507710456848145,0.11796070255645334,1.1100826733732876
22,13,1779645,0,42220293,0.0006151478623083757,3476,3473,3,0,19.034845815999688,6.763546943664551,0.08692656653503365,0.7324313650617261
22,14,3063594,0,42220294,0.0006151478623083757,5984,5982,2,0,33.24228205700001,6.821379661560059,0.038289209465962995,0.4139651212752842
22,15,1212957,1,42220295,0.0006151478623083757,2370,2368,2,0,13.083734112999991,6.738023281097412,0.11479772103799356,1.2254405666042019
22,16,870217,1,42220296,0.0006151478623083757,1700,1698,2,0,8.906575203000102,6.7225871086120605,0.09782503125805175,0.8883107682981817
22,17,5890990,0,42220297,0.0006151478623083757,11506,11502,4,0,63.08655567200003,6.948785305023193,0.05482196094802806,0.5675545727101808
22,18,1063458,1,42220298,0.0006151478623083757,2078,2076,2,0,11.358016539000346,6.731289863586426,0.0914781383007248,0.6902018934775409
22,19,1173148,0,42220299,0.0006151478623083757,2292,2291,1,0,12.600986847000058,6.736230373382568,0.08337699393943011,0.7270979363030609
23,0,3352748,1,42230287,0.0005840019480415229,6549,6545,4,0,35.939212612999654,6.83604621887207,0.0951753877154555,0.8833184623281131
23,1,1783872,1,42230288,0.0005840019480415229,3485,3483,2,0,19.048920430999715,6.763737678527832,0.07032721117245819,0.6611819490426716
23,2,2652819,1,42230289,0.0005840019480415229,5182,5179,3,0,28.29825007099953,6.8028788566589355,0.053397954074221016,0.6002276225954576
23,3,1455566,1,42230290,0.0005840019480415229,2843,2841,2,0,15.41440253699966,6.748951435089111,0.11067420451920539,0.9373698088536166
23,4,1864534,1,42230291,0.0005840019480415229,3642,3639,3,0,19.75869825800055,6.7673726081848145,0.14494314924902102,1.1337195572272603
23,5,1932238,0,42230292,0.0005840019480415229,3774,3770,4,0,20.520240939999894,6.770422458648682,0.09846072411979857,1.0011042020681367
23,6,3372587,1,42230293,0.0005840019480415229,6588,6585,3,0,36.19947380699978,6.836348533630371,0.07975121384420084,0.7757679029043281
23,7,1472203,0,42230294,0.0005840019480415229,2876,2874,2,0,15.723630593000053,6.749701023101807,0.17224989687309716,1.1961502574264962
